account_id,campaign_id,cost_micros,clicks,conversions,impressions,interactions,date
8181642239,6320590762,2026808398.5,1306.16,60.91,43749.27,1569.33,2024-08-16
8181642239,6862247394,16422492256.15,23500.07,656.22,1233332.0,28235.04,2024-08-16
8181642239,3162025308,86707293.36,268.44,3.12,60973.77,322.53,2024-08-16
8181642239,4957786229,285378219.0,269.34,3.2,5294.14,323.61,2024-08-16
8181642239,3045194241,6619119204.52,15608.16,178.81,1928904.95,18753.01,2024-08-16
8181642239,5471548278,52977360.0,127.91,2.09,12785.87,153.69,2024-08-16
8181642239,2435717692,619452358.97,510.75,8.35,26986.97,613.66,2024-08-16
8181642239,4482151361,430161240.0,732.35,33.4,14451.28,879.91,2024-08-16
8181642239,4150002374,82646547.0,186.47,5.22,6777.22,224.04,2024-08-16
4590233378,7770677599,233106356.72,137.82,4.18,260.99,131.01,2024-08-16
9565398844,8260044871,1850678453.56,919.94,68.83,5394.76,902.88,2024-08-16
9565398844,7551850760,539869528.57,671.76,25.73,2213.24,659.3,2024-08-16
9565398844,9316316207,5582428991.39,4073.48,289.29,30870.49,3997.95,2024-08-16
9565398844,5033693541,4032065933.6,14135.88,14.45,487674.25,167182.1,2024-08-16
9782017208,6945741994,101415591090.3,376791.51,78153.08,15247703.64,5255635.05,2024-08-16
5158673107,9127538030,71322627513.6,329656.85,939095.61,12059801.24,317365.49,2024-08-16
2338105289,5118711289,372796838.59,841.71,293.48,5483.56,824.18,2024-08-16
3374138392,8628650305,671996910.0,1156.72,8.11,54074.55,1076.36,2024-08-16
3223263586,2799572223,479285576.92,2727.62,73.46,89317.21,2275.75,2024-08-16
3356181707,5242907807,8708829760.4,6542.55,785.31,1209312.25,376415.0,2024-08-16
1035543794,6335684328,548971164.02,1817.03,23.15,123984.33,1691.31,2024-08-16
1035543794,3155687170,1056011026.08,2674.34,41.88,140291.29,2567.34,2024-08-16
1035543794,3673217045,590352803.93,1842.37,33.76,88392.41,1724.62,2024-08-16
1035543794,1029398724,4005746610.23,12547.13,200.44,866034.82,11650.03,2024-08-16
1035543794,4007318043,14625998789.72,38385.72,539.22,2859628.29,35662.48,2024-08-16
1035543794,2006217542,7062930414.16,19880.71,243.31,1063870.49,18451.52,2024-08-16
1035543794,5106183926,13148043595.04,22922.47,442.59,1293802.59,21280.49,2024-08-16
1035543794,6256206481,64317165.0,62.29,0.95,14565.62,57.81,2024-08-16
1035543794,6376026786,351869968.15,895.32,13.4,74098.88,830.96,2024-08-16
1035543794,9053347342,2334998005.25,4246.43,27.76,209041.3,3941.16,2024-08-16
1035543794,4703338973,58438161707.71,125479.72,1966.01,9435023.26,119447.85,2024-08-16
1035543794,8086386225,13426243467.1,36293.12,678.93,2532289.76,33692.88,2024-08-16
1035543794,7825458724,5501877180.0,15991.15,235.73,1142950.13,14841.57,2024-08-16
2656837900,3610702558,8150346060.16,74854.54,2900.66,105434.95,73462.2,2024-08-16
2656837900,5146812398,1525563876.11,5678.78,503.95,10908.86,5573.16,2024-08-16
2656837900,6541769165,4159056157.65,7299.52,129.29,154965.55,7163.74,2024-08-16
2656837900,5645259899,667608174.59,1546.02,20.31,34544.4,1517.27,2024-08-16
2656837900,1133120806,372019848.0,652.65,11.72,24474.47,640.51,2024-08-16
2656837900,5453948382,98912904.0,139.04,3.68,3467.3,136.45,2024-08-16
2656837900,6335643178,92796169.46,104.8,0.92,2546.09,102.85,2024-08-16
2656837900,3054858538,7834152.0,46.69,0.0,1891.6,45.82,2024-08-16
2656837900,9764154719,2022769495.64,3893.08,76.19,112849.07,3820.66,2024-08-16
2656837900,9686786580,895824594.64,783.39,24.4,25379.6,768.82,2024-08-16
8842840036,2536633717,1203403264.63,4623.22,177.0,273948.11,4176.78,2024-08-16
8842840036,6295533226,3294511357.61,7827.17,284.12,625393.28,7164.45,2024-08-16
8842840036,5833357753,802188638.61,4065.84,133.94,270200.67,3681.01,2024-08-16
8842840036,2183479825,505848403.08,1788.8,64.34,124946.66,1615.91,2024-08-16
4126844175,7977352067,217273719.0,4634.13,194.96,6523.73,4962.98,2024-08-16
4126844175,5691510087,116560704.0,500.78,3.03,4338.82,536.32,2024-08-16
4126844175,6417982894,142357371.0,305.52,6.07,5727.64,327.2,2024-08-16
4126844175,4708428367,113507147.0,188.73,12.05,621.0,202.12,2024-08-16
4126844175,8400772362,75505313.0,100.9,1.03,2568.82,108.06,2024-08-16
9058771111,6989875358,1377235377.5,868.53,23.08,9154.18,772.64,2024-08-16
9058771111,1014702892,3143534506.65,7291.95,146.2,441872.63,6494.19,2024-08-16
7658197888,8092448106,105210447.53,411.67,20.71,19683.32,447.23,2024-08-16
3886905599,3438720752,934516093.25,2431.98,60.05,97465.13,2238.49,2024-08-16
9218342578,8783617718,156011896.62,631.81,17.87,25958.12,668.82,2024-08-16
9218342578,5102935462,36576226.0,384.22,7.06,2105.57,406.14,2024-08-16
3487944451,9563956867,94212489.72,112.56,2.69,902.41,119.41,2024-08-16
1757896755,3355555497,1204419997.91,2156.52,40.65,12037.34,1977.41,2024-08-16
1757896755,2188364055,884376229.76,1572.89,32.42,6094.56,1442.25,2024-08-16
4695215334,9515395501,8894676149.74,2195.16,101.91,19188.56,2332.61,2024-08-16
